ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
83LL,small_airport,Lindauer Airport,437,NA,US,US-IL,New Athens,83LL,83LL,"38.3036003112793, -89.8551025390625"
83MI,heliport,St. Joseph Mercy Oakland-Bassett Street Helipad,980,NA,US,US-MI,Pontiac,83MI,83MI,"42.612111, -83.27586"
83MN,seaplane_base,Ponderosa Seaplane Base,1316,NA,US,US-MN,Outing,83MN,83MN,"46.86309814453125, -93.9894027709961"
83MO,heliport,North Kansas City Hospital Heliport,411,NA,US,US-MO,North Kansas City,83MO,83MO,"39.14939880371094, -94.55130004882812"
83MU,small_airport,Dalbom Ultralightport,1130,NA,US,US-MO,Stella,83MU,83MU,"36.76900100708008, -94.21240234375"
83NC,heliport,Holly Green Heliport,300,NA,US,US-NC,Durham,83NC,83NC,"35.922298431396484, -78.98809814453125"
83NE,small_airport,Abbott Airport,2560,NA,US,US-NE,Long Pine,83NE,83NE,"42.32500076293945, -99.75599670410156"
83NJ,heliport,Mac Millan Restricted Helistop,29,NA,US,US-NJ,Delran,83NJ,83NJ,"40.020401001, -74.96070098879999"
83NM,small_airport,King Ranch Airport,7143,NA,US,US-NM,Pie Town,83NM,83NM,"34.648101806640625, -108.00599670410156"
83NY,heliport,Norcross Helipad Heliport,530,NA,US,US-NY,Rochester,83NY,83NY,"43.12369918823242, -77.64969635009766"
83OH,small_airport,Adams Strip,973,NA,US,US-OH,Pleasent Hill,83OH,83OH,"40.06230163574219, -84.37940216064453"
83OI,heliport,M P W Heliport,900,NA,US,US-OH,Hebron,83OI,83OI,"39.954498291015625, -82.52739715576172"
83OK,small_airport,Sweetbriar Airport,560,NA,US,US-OK,Murry Spur,83OK,83OK,"35.25680160522461, -94.5780029296875"
83OR,small_airport,Tamarack Springs Ranch Airport,3445,NA,US,US-OR,Lostine,83OR,83OR,"45.50130081176758, -117.47200012207031"
83PA,heliport,Mmc Heliport,1348,NA,US,US-PA,Jeannette,83PA,83PA,"40.31119918823242, -79.61029815673828"
83PN,heliport,Wpxi-Tv Television Hill Heliport,1182,NA,US,US-PA,Pittsburgh,83PN,83PN,"40.4632987976, -80.00460052490001"
83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,0,NA,US,US-WA,Poulsbo,83Q,83Q,"47.734001159668, -122.64700317383"
83R,closed,Glen Beicker Ranch Airport,465,NA,US,US-TX,Seguin,83R,83R,"29.529399871826, -97.788299560547"
83TA,small_airport,Rainbow Field,365,NA,US,US-TX,Purdon,83TA,83TA,"31.900299072265625, -96.60030364990234"
83TE,small_airport,K Bar Ranch Airport,1208,NA,US,US-TX,Sabinal,83TE,83TE,"29.49690055847168, -99.493896484375"
83TS,small_airport,Moore Ranch Airport,1200,NA,US,US-TX,Gordon,83TS,83TS,"32.426700592041016, -98.4197006225586"
83TX,small_airport,Texas A And M Flight Test Station Airport,264,NA,US,US-TX,Bryan,83TX,83TX,"30.6334991455, -96.48359680179999"
83V,small_airport,Upton Municipal Airport,4290,NA,US,US-WY,Upton,83V,83V,"44.09049987792969, -104.64099884033203"
83VA,heliport,Medical Heliport,75,NA,US,US-VA,Williamsburg,83VA,83VA,"37.280399322509766, -76.72250366210938"
83WA,small_airport,Darcy's Air Strip,2430,NA,US,US-WA,Walla Walla,83WA,83WA,"46.0275993347168, -118.16799926757812"
83WI,small_airport,Jones Airport,1410,NA,US,US-WI,Dorchester,83WI,83WI,"44.97050094604492, -90.34619903564453"
83XS,heliport,Ball Park Heliport,90,NA,US,US-TX,Houston,83XS,83XS,"29.674699783325195, -95.61830139160156"
84AK,heliport,T-Time Heliport,375,NA,US,US-AK,Wasilla,84AK,84AK,"61.587245, -149.33453"
84AL,small_airport,Blessings Landing Air Ranch,400,NA,US,US-AL,Pinckard,84AL,84AL,"31.3031, -85.52705"
84C,small_airport,Valhalla Airport,805,NA,US,US-WI,North Cape,84C,84C,"42.76250076293945, -88.0426025390625"
84CA,heliport,Beverly Center Heliport,278,NA,US,US-CA,Los Angeles,84CA,84CA,"34.07389831542969, -118.37699890136719"
84CL,heliport,Century City Heliport,473,NA,US,US-CA,Los Angeles,84CL,84CL,"34.060798645, -118.417999268"
84CO,heliport,Rampart Heliport,6480,NA,US,US-CO,Castle Rock,84CO,84CO,"39.344239, -104.841906"
84FD,heliport,North Port Ems Heliport,14,NA,US,US-FL,North Port,84FD,84FD,"27.046100616455078, -82.23629760742188"
84FL,heliport,Capeletti Heliport,7,NA,US,US-FL,Hialeah,84FL,84FL,"25.925399780273438, -80.29979705810547"
84G,heliport,Cobo Hall Heliport,650,NA,US,US-MI,Detroit,84G,84G,"42.32590103149414, -83.0479965209961"
84GA,heliport,Screven Ems Heliport,250,NA,US,US-GA,Sylvania,84GA,84GA,"32.750999450683594, -81.6720962524414"
84ID,heliport,Shetler'S Heliport,3848,NA,US,US-ID,Twin Falls,84ID,84ID,"42.54325, -114.5454"
84IL,small_airport,Rossi's Farm Airport,580,NA,US,US-IL,Minooka,84IL,84IL,"41.50699996948242, -88.27780151367188"
84IN,heliport,Kosciusko Community Hospital Heliport,839,NA,US,US-IN,Warsaw,84IN,84IN,"41.247798919677734, -85.82890319824219"
84IS,heliport,Passavant Area Hospital Heliport,604,NA,US,US-IL,Jacksonville,84IS,84IS,"39.74869918823242, -90.25070190429688"
84K,seaplane_base,Meyers Chuck Seaplane Base,0,NA,US,US-AK,Meyers Chuck,84K,84K,"55.7396011353, -132.255004883"
84KY,closed,Greene County Parachute Center Airport,650,NA,US,US-KY,Bardstown,,,"37.8153, -85.540002"
84L,heliport,Norwalk Sheriff Station Heliport,101,NA,US,US-CA,Norwalk,84L,84L,"33.913299560546875, -118.06999969482422"
84LA,small_airport,Touchstone Ridge Ultralightport,180,NA,US,US-LA,Haughton,84LA,84LA,"32.55289840698242, -93.59320068359375"
84MI,closed,Timbers Sky Camp Airport,945,NA,US,US-MI,South Branch,,,"44.469501, -83.881897"
84MN,small_airport,Nielsville Airport,869,NA,US,US-MN,Nielsville,84MN,84MN,"47.53329849243164, -96.83090209960938"
84MO,heliport,Holiday Inn Westport Heliport,600,NA,US,US-MO,St Louis,84MO,84MO,"38.69390106201172, -90.44869995117188"
84MT,closed,Shimmon Airport,3920,NA,US,US-MT,Corvallis,,,"46.280813, -114.050214"
84NC,small_airport,Rooster Field,340,NA,US,US-NC,Cameron,84NC,84NC,"35.273333, -79.248611"
84ND,small_airport,Kyllo Airport,1150,NA,US,US-ND,Mc Canna,84ND,84ND,"48.00080108642578, -97.75700378417969"
84NJ,heliport,Edison Square Heliport,107,NA,US,US-NJ,Edison,84NJ,84NJ,"40.52320098876953, -74.39179992675781"
84NK,heliport,St. Luke's Cornwall Hospital Heliport,264,NA,US,US-NY,Cornwall,84NK,84NK,"41.434583, -74.041111"
84NM,small_airport,Nalda Ranch Airport,7531,NA,US,US-NM,Pie Town,84NM,84NM,"34.35340118408203, -108.16200256347656"
84NR,heliport,Dupree Willow Heliport,368,NA,US,US-NC,Fuquay-Varina,84NR,84NR,"35.582577, -78.719495"
84NY,small_airport,Skyview Airport,642,NA,US,US-NY,Rush,84NY,84NY,"42.98619842529297, -77.61250305175781"
84OH,small_airport,Hanshell Flying Apple Airport,1055,NA,US,US-OH,Octa,84OH,84OH,"39.581199645996094, -83.6510009765625"
84OI,heliport,Grant Lifeflight 2 Heliport,716,NA,US,US-OH,Wellston,84OI,84OI,"39.125099182128906, -82.53820037841797"
84OK,closed,Collier Farms Airport,1740,NA,US,US-OK,Taloga,,,"35.938901, -99.053201"
84OL,small_airport,Cotton Field,685,NA,US,US-OK,Broken Arrow,84OL,84OL,"36.11040115356445, -95.7655029296875"
84OR,small_airport,B Bar Ranch Airport,1400,NA,US,US-OR,Selma,84OR,84OR,"42.24760055541992, -123.56999969482422"
84PA,heliport,Ged Heliport,440,NA,US,US-PA,Birdsboro,84PA,84PA,"40.30929946899414, -75.82630157470703"
84PN,small_airport,Draco STOLport,625,NA,US,US-PA,Stewartstown,84PN,84PN,"39.752601623535156, -76.5354995727539"
84TA,heliport,Allied Northborough Heliport,200,NA,US,US-TX,Houston,84TA,84TA,"29.957399368286133, -95.41940307617188"
84TE,small_airport,W4 Ranch Airport,833,NA,US,US-TX,Morgan,84TE,84TE,"31.988067, -97.543181"
84TS,heliport,Tourist Ride Services Heliport,18,NA,US,US-TX,Galveston,84TS,84TS,"29.2460994720459, -94.8646011352539"
84TX,small_airport,Camp Longhorn Airport,934,NA,US,US-TX,Buchanan Dam,84TX,84TX,"30.741300582885742, -98.37860107421875"
84U,heliport,Butte Aero Heliport,5553,NA,US,US-MT,Butte,84U,84U,"45.95330047607422, -112.49700164794922"
84VA,heliport,Cia Headquarters Heliport,255,NA,US,US-VA,Langley,84VA,84VA,"38.95289993286133, -77.15249633789062"
84WA,small_airport,D and B Airpark,55,NA,US,US-WA,Elma,84WA,84WA,"46.972900390625, -123.38400268554688"
84WI,heliport,Lutheran Hospital - La Crosse Heliport,656,NA,US,US-WI,La Crosse,84WI,84WI,"43.792999267599996, -91.2473983765"
84WY,small_airport,Moore Ranch Airport,5027,NA,US,US-WY,Douglas,84WY,84WY,"43.446111, -105.743055"
84XS,small_airport,Lang Ranch Airport,2200,NA,US,US-TX,Mountain Home,84XS,84XS,"30.255, -99.398889"
84Y,small_airport,Bloomfield Municipal Airport,1673,NA,US,US-NE,Bloomfield,84Y,84Y,"42.5797004699707, -97.67369842529297"
85AK,seaplane_base,Marion Seaplane Base,150,NA,US,US-AK,Big Lake,85AK,85AK,"61.509167, -149.908611"
85B,seaplane_base,Shin Pond Seaplane Base,780,NA,US,US-ME,Patten,85B,85B,"46.10419845581055, -68.56199645996094"
85CA,heliport,Redwood Coast Medical Services Heliport,135,NA,US,US-CA,Gualala,85CA,85CA,"38.77069854736328, -123.52999877929688"
85CO,heliport,Anderson Heliport,5160,NA,US,US-CO,Niwot,85CO,85CO,"40.11249923706055, -105.16200256347656"
85FA,small_airport,North Exuma Airport,62,NA,US,US-FL,Deland,85FA,85FA,"29.094900131225586, -81.27760314941406"
85FD,heliport,Advent Health Kissimmee Heliport,81,NA,US,US-FL,Kissimmee,85FD,85FD,"28.315393, -81.405979"
85FL,small_airport,Thomas Farms Airport,215,NA,US,US-FL,Jay,85FL,85FL,"30.96929931640625, -87.05159759521484"
85GA,small_airport,Aiken Field,1020,NA,US,US-GA,Talmo,85GA,85GA,"34.172298431396484, -83.73100280761719"
85IA,small_airport,Henry Airport,1125,NA,US,US-IA,Floyd,85IA,85IA,"43.1786003112793, -92.69740295410156"
85IL,small_airport,Durbin Airport,664,NA,US,US-IL,Sullivan,85IL,85IL,"39.637298583984375, -88.63590240478516"
85IN,small_airport,Leak Airport,720,NA,US,US-IN,Tab,85IN,85IN,"40.43389892578125, -87.50499725341797"
85KS,small_airport,Sanders Airport,1070,NA,US,US-KS,Winchester,85KS,85KS,"39.30099868774414, -95.2145004272461"
85KY,small_airport,Deer Run Airpark,890,NA,US,US-KY,New Castle,85KY,85KY,"38.470298767089844, -85.13860321044922"
85LA,heliport,Transco Kaplan Heliport,65,NA,US,US-LA,Kaplan,85LA,85LA,"29.981300354003906, -92.28230285644531"
85LL,small_airport,Wormley Airport,680,NA,US,US-IL,Oswego,85LL,85LL,"41.68389892578125, -88.26229858398438"
85MA,heliport,Lahey Clinic Heliport,241,NA,US,US-MA,Burlington,85MA,85MA,"42.484764, -71.201625"
85MI,small_airport,Dewind Field,640,NA,US,US-MI,Zeeland,85MI,85MI,"42.93230056762695, -86.01380157470703"
85MN,small_airport,Christison Airport,1175,NA,US,US-MN,Plainview,85MN,85MN,"44.158599853515625, -92.20210266113281"
85MO,small_airport,Willhite Airport,1022,NA,US,US-MO,Swedeborg,85MO,85MO,"37.875, -92.32240295410156"
85N,small_airport,Hollands International Field,360,NA,US,US-NY,Newfane,85N,85N,"43.266700744628906, -78.7677993774414"
85NC,small_airport,Reagans Roost Ultralightport,2080,NA,US,US-NC,Whittier,85NC,85NC,"35.42919921875, -83.16680145263672"
85NE,small_airport,Meyers Freedom Flight Hardy Airport,1624,NA,US,US-NE,Hardy,85NE,85NE,"40.02080154418945, -97.94200134277344"
85NJ,heliport,Webcraft Heliport,115,NA,US,US-NJ,North Brunswick,85NJ,85NJ,"40.446800231933594, -74.4937973022461"
85NM,heliport,Playas Medical Building Heliport,4506,NA,US,US-NM,Playas,85NM,85NM,"31.914499282836914, -108.53399658203125"
85NY,small_airport,High Acres Airport,1540,NA,US,US-NY,Sardinia,85NY,85NY,"42.578399658203125, -78.5199966430664"
85OH,small_airport,Tounshendeaux Airport,838,NA,US,US-OH,West Farmington,85OH,85OH,"41.413700103759766, -80.9469985961914"
85OI,heliport,Children's Hospital Heliport,950,NA,US,US-OH,Akron,85OI,85OI,"41.08620071411133, -81.52760314941406"
85OK,heliport,Red Stevenson Property Heliport,765,NA,US,US-OK,Tijuana,85OK,85OK,"36.4833984375, -95.00019836425781"
